guid,Title,Media,Media Internet Off,Communities,Cultural Protocols,Related Items,Category,Keywords,Description,Cultural Narrative,Traditional Knowledge,Contributor,Creator,Date,Format,Identifier,Language,Publisher,Rights,Source,Subject,Sharing Protocols,Latitude,Longitude,Location Description,Traditional Licensing URL,Traditional Licensing,Standard and Creative Commons Licensing URL,Standard and Creative Commons Licensing
premiere.mukurtu.org/000,"Clipping ""Chief Joseph's Robes Displayed at Indian Fair"" (1936) [Public]",1wsumasc0009.jpg,http://share.chachaville.com/mukurtu/dh/1wsumasc0009.jpg,Demo Community,Mukurtu Community Shares,,Artistry and Artifacts,"newspaper, costume, exhibition","Clipping from the Spokane Chronicle with a photograph and description of ""Ceremonial robes of Chief Joseph Seltice.""",Chief Joseph's Robes Displayed at Indian Fair,,,Spokane Chronicle,1936-10-26,JPEG,1WSUMASC0009,English,"WSU Libraries, Manuscripts Archives and Special Collections","WSU Libraries, Manuscripts Archives and Special Collections","WPA Clippings Collection, Kimble Northwest History Database, Manuscripts Archives and Special Collections, Washington State University Libraries, (sh139-636; http://content.wsulibs.wsu.edu/clipping/full/139636.tif)",,Use group defaults,,,,http://mukurtu.org/tk/co-c/1.0,Traditional Knowledge Community Owned Commercial (TK CO-C),http://mukurtu.org/copyright,Copyright - All rights reserved
premiere.mukurtu.org/001,"Clipping ""Old Tribal Rites Revived"" (1936) [Community]",2WSUMASC0072.jpg,http://share.chachaville.com/mukurtu/dh/2WSUMASC0072.jpg,Demo Community,Mukurtu Community Shares,,"Architecture and Dwellings, Ceremony","person, newspaper","A newspaper clipping from the Oregonian taken on the 56th anniversary of the Chemawa Indian School featuring Allen Palawa in regalia with his daughter, Minnie Palawa McIntyre, emerging from the enterance of a teepee.",Old Tribal Rites Revived (1936).   Allen Palawa (right).   Minne Palawa McIntyre (left).,,The Oregonian,The Oregonian,1936-02-26,JPEG,2WSUMASC0072,English,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections","Wallis & Marilyn Kimble Northwest History Database, State History box 143, http://kaga.wsulibs.wsu.edu/u?/clipping,10694","Teepee, Indians of North America",Use group defaults,,,,http://mukurtu.org/tk/co-c/1.0,Traditional Knowledge Community Owned Commercial (TK CO-C),http://mukurtu.org/copyright,Copyright - All rights reserved
premiere.mukurtu.org/002,"Clipping: ""Plugging the Round-Up"" (1935) [Community]",2WSUMASC0071.jpg,http://share.chachaville.com/mukurtu/dh/2WSUMASC0071.jpg,Demo Community,Mukurtu Community Shares,,"Ceremony, Wars/Military/Conflict, Artistry and Artifacts","person, costume, arts, newspaper, warrior",A newspaper clipping from the Oregonian featuring four Umatilla men in dance regalia having stopped in Portland for the Veterans of Foreign Wars convention in Newport.,Plugging the Round-Up (1935),,The Oregonian,The Oregonian,1935-07-08,jpg,2WSUMASC0071,English,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections","Wallis & Marilyn Kimble Northwest History Database, State History box 143 ,http://kaga.wsulibs.wsu.edu/u?/clipping,10681",,Use group defaults,,,,http://mukurtu.org/tk/xo-c/1.0,Traditional Knowledge Externally Owned Commercial (TK EO-C),http://creativecommons.org/licenses/by-nc-nd/3.0,Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)
premiere.mukurtu.org/003,"Document excerpt ""Reports of Agents in Washington Territory"" [Public]",Fishing_pg_221.gif,http://share.chachaville.com/mukurtu/dh/Fishing_pg_221.gif,Demo Community,Mukurtu Community Shares,,Lands,"document, report, fishing","Description    This document is typical of the conflicts and struggles Plateau people met when attempting to use their treaty rights of traditional gathering:  fishing, hunting, gathering natural materials for subsistence needs was to be guaranteed by the 1855 Treaty.  What Plateau tribes have met up with ever since states have been made joining as the United States, is that Plateau tribes have not been considered as another government with laws that need to be considered when any kind of natural resources are to be harvested or used.  Plateau tribes have always, since treaty times, had to go to court to get counties, and states to realize that treaty rights must be a part of all considerations in the state's growth and progress in utilization of ceded lands and the natural resources. Vivian Adams, Yakama  Further Description    White people have never understood the laws Plateau people have attempted to keep; laws handed to them from the Creator, regarding use of our environment, our fellow creatures  and our natural resources.  These laws were in place and adhered to by native people  thousands of years before the white people escaped to this country seeking freedom.      Once the lands were overtaken and ""owned"" by the white people, their laws were supposed to be considered over the ancient laws of our Creator.      It was difficult for the immigrant cultures to understand the mores of the indigenous people, and these lifeways were usualy never part of the considerations to remove the Indians onto reservations or to ""civilize"" them according to the desires of the dominent culture.  White people, because they were the majority population and it was their needs and uses of the lands that became law; never understood that Plateau people have always based their societal life ways on spirituality, respect, thanks and good stewardship of all that was given to them by the Creator.  In fact, many white people didn't believe Indians had any kind of ""religion.""    The basic attitude of ""manifest destiny"" of whites moving into Plateau country is still a part of mainstream American society.  American Indians have strived to understand the whiteman's laws, and use them to be good citizens but to also protect the rights and lands left to them by hurried treaties. Vivian Adams, Yakama","This legal document is typical of the struggles Plateau tribes have met in attempting to use their treaty rights to continue traditional gathering. This is an example of resistence the Plateau people met when trying to fish in their ""usual and accustomed"" areas as stated in the 1855 Treaty signed by Plateau tribal leaders and the U.S. government (Issac Stevens, Washington Territory governor).",,,,,GIF,,,,,,,Use group defaults,,,,,Traditional Knowledge Attribution Non-Commercial (TK A-NC),http://creativecommons.org/licenses/by-sa/3.0,Creative Commons Attribution-ShareAlike (CC BY-SA)
premiere.mukurtu.org/004,Letter from Colonel Wright to Father Joset (1858) [Public],1WSUMASC0006_1.jpg,http://share.chachaville.com/mukurtu/dh/1WSUMASC0006_1.jpg,Demo Community,Mukurtu Community Shares,,Wars/Military/Conflict,"document, letter, soldier, horse","Copy of typescript letter from Colonel George Wright, U.S. Army, to Father Joset, recounting events in the 1858 conflict between the Army and the ""hostile Indians,"" including the capture and killing of Til-Co-Ax's horses; September 10, 1858.","Letter from Col. Wright to Father Joset, 1858.",,,Colonel Wright,1858-09-10,JPEG,1WSUMASC0006_1,English,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections","John Joseph Augustine Joset Papers 1858, (Cage 2044), Manuscripts, Archives, and Special Collections, Washington State University Libraries. (C2044)",,Use group defaults,,,,http://mukurtu.org/tk/xo-c/1.0,Traditional Knowledge Externally Owned Commercial (TK EO-C),http://creativecommons.org/licenses/by-nc-nd/3.0,Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)
premiere.mukurtu.org/005,"Map of Camp Spokane, showing the proposed military reservations (1882) [Public]",5WSUMASC0001.jpg,http://share.chachaville.com/mukurtu/dh/5WSUMASC0001.jpg,Demo Community,Mukurtu Community Shares,,Wars/Military/Conflict,"map, soldier, battle","Shows Camp Spokane, proposed pasture reserve, proposed wood reserve, proposed hay reserve, Columbia River...",,,,"US Army Corps of Engineers. Engineer Office Symons, T.W.",1882,JPEG,5WSUMASC0001,English,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections",http://kaga.wsulibs.wsu.edu/cdm-maps/item_viewer.php?CISOROOT=/maps&CISOPTR=310&CISOBOX=1&REC=3,,Use group defaults,,,,http://mukurtu.org/tk/cu/1.0,Traditional Knowledge Community Use Only (TK CU),http://creativecommons.org/licenses/by-nc-nd/3.0,Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)
premiere.mukurtu.org/006,"March, K.S. (1983) Weaving, writing and gender. Man n.s. 18(4): 729-744.",March.1983.Weaving writing and gender.pdf,http://share.chachaville.com/mukurtu/dh/March.1983.Weaving writing and gender.pdf,Demo Community,Mukurtu Community Shares,,Articles,,Article about Tamang gender symbolism of weaving and writing.,,,"March, Kathryn S.","March, Kathryn S.",1983,pdf,"March (1983) Weaving, writing and gender",English,Man,Man,,Tamang gender symbolism,Use group defaults,,,,,,,
premiere.mukurtu.org/007,Painted portrait of Luke Cowpoo (1935) [Community],2WSUMOFA0001.jpg,http://share.chachaville.com/mukurtu/dh/2WSUMOFA0001.jpg,Demo Community,Mukurtu Community Shares,,Artistry and Artifacts,"painting, person, costume",A photograph of an oil painting; portrait of Luke Cowpoo by Worth D. Griffin,"The following was recorded from the provenance on the painting's back: Luke Cowapoo Was born in 1886. He is a great grandson of Chief Lawyer of the Nez Perce Indians; he is also a grandson of George Eumolers, one time chief of the Cayuse. He is a half-breed Nez Perce and Cayuse. Cowapoo is a powerful man physically; he seems to combine the best of the Nez Perce and Cayuse charaxcteristics. He is a proud Indian and admits that he is the best-looking Indian on the Umatilla Reservation. The squaws seem to feel the same way about the matter. Cowapoo farms intermittently, but he finds greater pleasure in riding horse-back at the roundup.",,,Worth D. Griffin,1935,JPEG,2WSUMOFA0001,English,"Washington State University, Museum of Art","Washington State University, Museum of Art","Permanent Collection Museum of Art/WSU, part of the Worth D. Griffin Collection (3715)",,Use group defaults,,,,http://mukurtu.org/tk/mco/1.0,Traditional Knowledge Multiple Community Owned (TK MCO),http://mukurtu.org/copyright,Copyright - All rights reserved
premiere.mukurtu.org/008,Picture of Captain and Spokane Indians (1905) [Community],5WSUMASC0003.jpg,http://share.chachaville.com/mukurtu/dh/5WSUMASC0003.jpg,Demo Community,Mukurtu Community Shares,,Wars/Military/Conflict,"person, warrior, soldier, picture",Photograph of Captain and Indians posing in front of porch.,Captain and Indians posing in front of porch (1905) Spokane,Treaty Rights    Chief Lot is seated to the right of the Captain.  He is wearing a bear coat.,,Frank Fuller Avery,1905-03-19,Photo,5WSUMASC0003,English,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections","Frank Fuller Avery Collection (PC 19, Box 3, Folder 6),http://kaga.wsulibs.wsu.edu/cdm-avery/item_viewer.php?CISOROOT=/avery&CISOPTR=701&CISOBOX=1&REC=2",,Use group defaults,,,,http://mukurtu.org/tk/pd-c/1.0,Traditional Knowledge Public Domain Commercial (TK PD-C),http://creativecommons.org/licenses/by-sa/3.0,Creative Commons Attribution-ShareAlike (CC BY-SA)
premiere.mukurtu.org/009,Picture of Indian Weapons Collection (1900) [Public],3WSUMASC00013.jpg,http://share.chachaville.com/mukurtu/dh/3WSUMASC00013.jpg,Demo Community,Mukurtu Community Shares,,"Wars/Military/Conflict, Artistry and Artifacts","weapon, warrior, exposition, arts, picture","Photograph of a collection of items identified as ""Indian weapons,"" circa 1900.","Collection of Indian WeaponsIt should be noted that ""weapons"" were also used for hunting and fishing, and some were dual purpose, like a horse quirt. Appearance was all, and one must look strong when monitoring lands stranger tribes may encroach upon. So it was necessary to have tools decorated for power but also served utilitarian purposes. Although many Plateau tribes were peaceful, there were also many who were noted for their warrior like attitudes and their great horsemanship. In early reservation times many men became upset and angry with the lies, theft and mistreatment their families and friends. Most met negative or neglegent interaction with the ""trustee"" feds and were cheated in the new cash economy by whitemen eager for Indian lands. In the history of the Plateau people there are few instances of hostile initiation by them against the whiteman; but those that did happen quickly became recorded in history as ""tragedies"" or ""massacres."" Ironic when the majority of Plateau people had always been known as peace loving and acted forcefully only when protecting their own.Vivian Adams, Yakama",,,L. .V. McWhorter,1900,JPEG,,,"WSU Libraries, Manuscripts, Archives and Special Collections","WSU Libraries, Manuscripts, Archives and Special Collections","McWhorter Photograph Collection (PC 85), Manuscripts Archives and Special Collections, Washington State University Libraries, (PC85B4F50_3)",,Use group defaults,,,,http://mukurtu.org/tk/mco/1.0,Traditional Knowledge Multiple Community Owned (TK MCO),http://mukurtu.org/copyright,Copyright - All rights reserved
