Field name,Field type,Help text,Required,Changes,Multi-item,Changes,Indicate versioning **,Mukurtu Core,Standard,MARC Equivalent to Unqualified/Qualified DC,EAD Equivalent (for our purposes these should be EAD <archdesc> elements),In Create DH view,Tab,Tab Label (for Kim),In Node view,In Browse list view,Standard Install,In Features (specify which)
Media,Multimedia asset,"Choose a file to upload from your computer, or select a file in the library.",yes,no,yes,,yes,yes,DC Identifier or NONE,In Drupal -- could use URI of uploaded item as Identifier (?) for actual file.....,,yes,MC,,preview,thumbnail,yes,
Title,Node module element,,yes,,no,,,yes,UnQual DC,245 00$a (Title Statement/Title proper),<unittitle>,yes,MC,,yes,yes,yes,
Keywords,Term reference,Insert keywords associated with this item. Keywords make it easier to browse and retrieve the content.,,,yes,,,yes,UnQual DC,653 ##$a (Index Term--Uncontrolled),N/A,yes,MC,,yes,yes,yes,
Category,Term reference,Choose one or more general cultural categories that best describes your material. This field can be used for content browsing.,yes,,yes,,,yes,UnQual DC,653 ##$a (Index Term--Uncontrolled),N/A,yes,MC,,yes,yes,yes,
Cultural Narrative,Long text and summary,Use this field to provide general cultural context and background information for the content.,,,no,,yes,yes,UnQual DC DESC,"520 ##$a (Summary, etc. note)",<scopecontent> <abstract>,yes,MC,,yes,no,yes,
Description,Long text and summary,"(DC Description field) This is the primary field for describing the item. Include physical characteristics (examples: Photograph (lantern slide); manuscript; typescript; newspaper clipping) and content information (for an image, what is depicted; for a text item, what is it about); also give additional date information or other relevant details.",yes,no,no,,yes,yes,UnQual DC,"520 ##$a (Summary, etc. note)",<scopecontent> <abstract>,yes,MC,,yes,no,yes,
Community,Node reference,Select the communities that should be allowed to see this content.,,,yes,,,yes,UnQual DC Publisher,"260 ##$b (Publication, Distribution, etc. (Imprint)/Name of publisher, distributor, etc.)",,yes,MC,,yes,yes,yes,
Cultural Protocols,Node reference,Select the cultural protocols associated with this content.,yes,,yes,,,yes,Qual DC Access Rights,540 ##$a (Terms Governing Use and Reproduction Note)  ///maybe 506,<accessrestrict>,yes,MC,,yes,yes,yes,
Sharing Protocols,List (integer),Choosing a sharing protocol will define who can access this item.,yes,,no,,,yes,Qual DC Access Rights,540 ##$a (Terms Governing Use and Reproduction Note) // maybe 506,<accessrestrict>,yes,MC,,yes,no,yes,
Creator,Term reference,"(DC Creator field) Who made the content: who took the photo, made the basket, etc.",,,yes,,,,UnQual DC,720 ##$a (Added Entry--Uncontrolled Name/Name) with $e=author,<origination><persname> <origination><corpname> <origination><famname>,yes,Standard,,yes,no,yes,
Contributor,Term reference,(DC Contributor field) Person or organization who contributed the content.,,,yes,,,,UnQual DC,720 ##$a (Added Entry--Uncontrolled Name/Name),N/A,yes,Standard,,yes,no,yes,
Date,Text,"(DC Date field) Date associated with the creation of the content – EX: date the document was written, date the photo was taken, etc Use yyyy-mm-dd format or insert incomplete date.",,,no,,,,UnQual DC,"260 ##$c (Date of publication, distribution, etc.)",<unitdate>,yes,Standard,,yes,no,yes,
Format,Term reference,"(DC Format field) The file format EX: jpeg, tiff, pdf. etc.",,,no,,,,UnQual DC,856 ##$q (Electronic Location and Access/Electronic format type),N/A,yes,Standard,,yes,no,yes,
Identifier,Text,"(DC Identifier field) An unambiguous reference to the resource within a given context. Your institution may already have its own system. Recommended best practice is to identify the resource by means of a string or number conforming to a formal identification system. Examples of formal identification systems include the Uniform Resource Identifier (URI) (including the Uniform Resource Locator (URL), the Digital Object Identifier (DOI) and the International Standard Book Number (ISBN).",,,no,,yes,,UnQual DC,If string begins http://: 856 40 $u (Electronic Location and Access/URI) Otherwise: 024 8#$a (Other Standard Identifier/Standard number or code) ,<unitid> with COUNTRYCODE and REPOSITORYCODE attributes  (which most of these installations won't have?),yes,Standard,,yes,no,yes,
Language,Term reference,(DC Language field) Language(s) used in the piece of content.,,,yes,,,,UnQual DC,546 ##$a (Language note),<archdesc> with LANGMATERIAL attribute,yes,Standard,,yes,no,yes,
